Classes	film	nature	music	athletics	video_game	economics	war	infrastructure_transport	politics	populated_areas	architecture
additions	0.00284	0.00238	0.00063	0.00360	0.00732	0.00173	0.00075	0.01353	0.00050	0.00028	0.96096
address	0.00706	0.03702	0.00415	0.00152	0.00107	0.02812	0.01531	0.28025	0.01876	0.00047	0.10102
addressed	0.01387	0.03694	0.02975	0.00214	0.00471	0.09047	0.00876	0.00583	0.43341	0.00078	0.03740
addresses	0.00581	0.06579	0.05932	0.00298	0.00308	0.07766	0.02410	0.03561	0.09015	0.00158	0.07056
addressing	0.01320	0.02378	0.02286	0.00177	0.00508	0.08734	0.00625	0.00494	0.57715	0.00085	0.01729
adds	0.00265	0.04845	0.00093	0.00155	0.00403	0.00348	0.00375	0.85501	0.00118	0.00020	0.01872
ade	0.00246	0.05494	0.01653	0.01480	0.00355	0.02225	0.13790	0.00140	0.36126	0.00095	0.03001
adelaide	0.00160	0.46564	0.02631	0.00836	0.00085	0.02433	0.01128	0.06288	0.01278	0.00037	0.02761
adept	0.00233	0.15123	0.02702	0.01573	0.00484	0.06351	0.03640	0.02410	0.11664	0.00146	0.04739
adequate	0.00337	0.73094	0.00059	0.00334	0.00071	0.00539	0.01119	0.03776	0.00403	0.00040	0.17205
adequately	0.00321	0.58329	0.00065	0.00245	0.00128	0.00553	0.01161	0.09930	0.00377	0.00043	0.17162
adhere	0.00616	0.88913	0.00092	0.00159	0.00088	0.00386	0.00581	0.04235	0.00211	0.00025	0.02060
adhered	0.00973	0.06803	0.03103	0.00280	0.00258	0.09953	0.00999	0.00432	0.39382	0.00116	0.04149
adherence	0.00680	0.03736	0.02912	0.00254	0.00576	0.10426	0.01149	0.00481	0.44788	0.00084	0.04022
adherents	0.00135	0.03103	0.00624	0.00078	0.00154	0.05699	0.00400	0.00041	0.62189	0.00497	0.01057
adjacent	0.00309	0.00317	0.00037	0.00221	0.00269	0.00244	0.00097	0.02806	0.00042	0.00032	0.95091
adjective	0.00103	0.95578	0.00060	0.00172	0.00026	0.00396	0.00257	0.01351	0.00157	0.00011	0.03828
